site,elevation_m,lon,lat,name_clean,type
las_lapas,601,-61.31307,10.72981,Las Lapas,site
morne_bleu,631,-61.30422,10.72759,Morne Bleu,site
arima_valley,282,-61.28937,10.69251,Arima Valley,site
marianne_river,39,-61.30369,10.76442,Marianne River,site
brasso_seco,137,-61.25906,10.7515,Brasso Seco,site
F1,304,-61.29208,10.71359,F1,road
F2,390,-61.29894,10.72167,F2,road
F3-F5,571,-61.30993,10.72758,F3-F5,road
F6,511,-61.30217,10.7321,F6,road
F7,383,-61.29361,10.71468,F7,road
la_laja,588,-61.281918,10.707406,La Laja,site
