bromeliad_id,mesh size,bag_number,paper_mass_g,dry_mass_g,detritus_mass_g
B2,fine,1,7.788,7.842,
B2,loose,2,7.751,16.824,
B2,coarse,3,7.929,7.919,
B1,coarse,4,7.75,7.941,
B1,loose,5,7.779,14.566,
B1,fine,6,7.915,8.016,
B,fine,7,7.718,7.689,
B,coarse,8,7.741,8.001,
B,loose,9,7.749,31.355,
B6,loose,10,7.764,36.42,
B6,coarse,11,7.782,9.047,
B6,fine,12,7.765,8.686,
B5,coarse,13,7.79,8.207,
B5,loose,14,7.803,16.318,
B5,fine,15,7.873,7.731,
B7,fine,16,7.744,8.331,
B7,coarse,17,7.779,8.315,
B7,loose,18,7.72,36.017,
B4,fine,19,7.758,9.608,
B4,coarse,20,7.742,9.334,
B4,loose,21,7.802,21.68,
C,fine,22,7.767,8.307,
C,coarse,23,7.659,8.201,
C,loose,24,7.432,19.783,
B3,fine,25,7.864,8.07,
B3,coarse,26,8.318,8.609,
B3,loose,27,7.711,14.968,
A,loose,28,7.731,10.571,
A,coarse,29,7.731,7.598,
D,fine,30,7.736,7.777,
D,coarse,31,7.736,7.931,
D,loose,32,7.689,17.634,
E,coarse,33,7.706,8.298,
A,fine,34,7.727,7.505,
E,loose,35,7.711,16.674,
E,fine,36,7.791,7.986,
B8,fine,37,7.74,7.997,
B8,coarse,38,7.699,8.641,
B8,loose,39,7.739,13.703,
B13,fine,40,7.761,8.032,
B13,coarse,41,7.777,8.705,
B13,loose,42,7.789,17.145,
B17,loose,43,7.733,22.443,
B17,coarse,44,7.776,9.353,
B17,fine,45,7.717,8.378,
B10,fine,46,7.802,8.379,
B10,coarse,47,7.754,8.949,
B14,fine,48,7.765,8.333,
B14,coarse,49,7.821,8.254,
B14,loose,50,7.814,11.91,
B10,loose,51,7.84,19.419,
,fine,52,7.837,8.065,
,coarse,53,7.831,8.699,
,loose,54,7.83,16.335,
B15,coarse,55,7.789,8.508,
B15,loose,56,7.872,14.895,
B15,fine,57,7.847,8.601,
B16,loose,58,7.792,14.74,
B16,coarse,59,7.856,7.968,
B16,fine,60,7.827,6.647,
B11,loose,61,7.859,21.055,
B11,coarse,62,7.844,7.937,
B11,fine,63,7.808,8.39,
B25,loose,64,7.775,8.985,
B25,coarse,65,7.813,7.864,
B25,fine,66,7.852,7.944,
B21,fine,67,7.854,7.575,
B21,coarse,68,7.773,7.647,
B21,loose,69,7.815,8.768,
B27,coarse,70,7.771,7.771,
B27,loose,71,7.814,8.897,
B27,fine,72,7.774,7.68,
B29,fine,73,7.783,7.698,
B29,coarse,74,7.787,7.705,
B29,loose,75,7.733,8.618,
B20,loose,76,7.764,8.218,
B20,coarse,77,7.764,7.627,
B20,fine,78,7.802,7.648,
B26,loose,79,7.806,7.781,
B26,coarse,80,7.832,7.673,
B26,fine,81,7.849,7.428,
B28,loose,82,7.82,7.836,
B28,fine,83,7.803,7.488,
B28,coarse,84,7.826,7.545,
B24,loose,85,7.802,12.93,
B24,coarse,86,7.775,8.052,
B24,fine,87,7.841,7.985,
B23,coarse,88,7.819,7.948,
B23,loose,89,7.836,10.14,
B23,fine,90,7.84,7.772,
B22,loose,91,7.83,25.228,
B22,coarse,92,7.823,8.558,
B22,fine,93,7.834,7.652,
,loose,94,7.796,10.454,
,coarse,95,7.871,7.854,
,fine,96,7.839,7.993,
B45,loose,97,7.722,13.17,
B45,coarse,98,7.723,7.814,
B45,fine,99,7.76,7.6,
B47,coarse,100,7.717,7.818,
B47,fine,101,7.704,7.652,
B47,loose,102,7.77,14.232,
B37,fine,103,7.728,7.871,
B37,coarse,104,7.767,8.033,
B37,loose,105,7.731,10.64,
B44,loose,106,7.804,14.472,
B44,coarse,107,7.774,7.903,
B44,fine,108,7.772,7.713,
,coarse,109,7.771,8.229,
B35,loose,110,7.729,12.269,
B35,coarse,111,7.731,7.865,
B35,fine,112,7.767,7.976,
B30,fine,109,7.737,7.822,
B30,coarse,110,7.705,8.016,
B30,loose,111,7.735,10.295,
B40,fine,112,7.766,7.953,
B40,coarse,113,7.748,8.242,
B40,loose,114,7.675,8.33,
B43,loose,113,7.749,11.025,
B43,coarse,114,7.795,8.101,
B42,fine,115,7.663,8.059,
B42,coarse,116,7.741,8.294,
B42,loose,117,7.711,9.793,
B34,fine,115,7.774,7.791,
B34,coarse,116,7.807,7.981,
B34,loose,117,7.727,14.265,
B46,loose,118,7.809,18.905,
B46,coarse,119,7.798,8.338,
B46,fine,120,7.81,8.696,
B38,fine,118,7.782,8.045,
B38,coarse,119,7.71,7.63,
B38,loose,120,7.733,11.405,
B31,fine,121,7.667,7.702,
B31,coarse,122,7.765,7.945,
B31,loose,123,8.172,10.283,
B33,loose,121,7.814,12.586,
B33,coarse,122,7.781,8.023,
B33,fine,123,7.807,7.873,
B32,fine,124,7.766,7.842,
B32,coarse,125,7.792,7.933,
B32,loose,126,7.829,23.323,
B41,fine,124,7.769,7.595,
B41,coarse,125,7.737,7.543,
B41,loose,126,7.757,7.852,
B48,fine,127,7.757,7.673,
B48,coarse,128,7.739,7.815,
B48,loose,129,7.743,9.421,
B36,coarse,130,7.772,8.543,
B36,fine,131,7.784,8.277,
B36,loose,132,7.799,15.523,
B39,fine,133,7.756,8.046,
B39,coarse,134,7.779,7.902,
B39,loose,135,7.691,18.089,
B49,fine,136,7.736,7.822,
B49,coarse,137,7.735,7.761,
B49,loose,138,7.76,23.428,
B105,fine,139,7.785,,
B105,coarse,140,7.754,,
B105,loose,141,7.912,13.042,
B104,fine,142,7.89,,
B104,coarse,143,7.864,,
B104,loose,144,7.938,11.931,
B102,fine,145,7.938,,
B102,coarse,146,7.895,,
B102,loose,147,7.865,15.226,
B101,fine,148,7.854,,
B101,coarse,149,7.894,,
B101,loose,150,7.867,9.463,
B113,coarse,150,7.405,8.222,
B108,coarse,150,7.273,9.612,
B103,loose,151,7.941,10.98,
B103,coarse,152,7.881,,
B106,loose,152,7.307,13.899,
B94,coarse,153,7.928,,
B112,fine,153,7.287,8.002,
B95,coarse,154,7.607,,
B113,fine,155,7.478,7.895,
B111,loose,156,7.409,16.708,
B95,fine,157,7.387,7.72,
B117,fine,158,7.635,8.171,
B113,loose,159,7.645,14.765,
B117,loose,160,7.639,18.703,
B117,coarse,161,7.64,8.795,
B112,loose,170,7.414,18.556,
B111,coarse,171,7.215,7.7,
B111,fine,172,7.201,7.576,
B116,fine,173,7.211,8.158,
B116,coarse,174,7.271,7.77,
B116,loose,175,7.219,13.345,
B107,coarse,176,7.07,7.905,
B107,loose,177,7.273,15.72,
B95,loose,178,7.33,13.35,
B112,coarse,179,7.386,8.522,
B103,fine,200,8.119,,
B100,coarse,201,8.018,8.228,
B100,fine,202,8.057,,
B96,fine,203,8.076,,
B96,coarse,204,8.085,,
B96,loose,205,8.129,12.587,
B100,loose,206,7.89,10.761,
B98,coarse,207,7.732,,
B98,loose,208,7.754,,
B98,loose,209,7.763,15.08,
B94,loose,210,7.732,13.293,
B106,fine,211,7.334,7.77,
B99,coarse,212,8.029,,
B99,fine,213,8.026,7.584,
B99,loose,214,7.999,,
B97,fine,215,8.022,,
B97,coarse,216,8.066,,
B97,loose,217,8.012,11.812,
B108,fine,218,7.192,7.199,
B108,loose,219,7.112,20.893,
B94,fine,220,7.827,8.013,
B107,fine,221,7.277,7.768,
B106,coarse,222,7.362,7.977,
B115,fine,250,8.377,8.606,
B115,coarse,251,8.26,8.745,
B115,loose,252,8.311,11.636,
B110,fine,253,8.435,9.183,
B110,coarse,254,8.456,9.948,
B110,loose,255,8.364,11.42,
B109,loose,256,8.572,11.323,
B109,coarse,257,8.572,,
B109,fine,258,8.557,,
B114,coarse,259,8.52,8.645,
B114,fine,260,8.677,8.726,
B114,loose,261,8.664,15.217,
